,logP,smiles,Temperature,pH
1928,-0.24,[H][C]1=[N][c]2[c]([H])[c]([Cl])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]2[S](=[O])(=[O])[N]1[H],25.0,6.5
1929,-0.24,[H][C]1=[N][c]2[c]([H])[c]([Cl])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]2[S](=[O])(=[O])[N]1[H],37.0,6.5
1960,-0.07,[H][c]1[c]([Cl])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]2[c]1[N]([H])[C]([H])([H])[N]([H])[S]2(=[O])=[O],15.0,6.5
1961,-0.07,[H][c]1[c]([Cl])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]2[c]1[N]([H])[C]([H])([H])[N]([H])[S]2(=[O])=[O],25.0,6.5
1962,-0.07,[H][c]1[c]([Cl])[c]([S](=[O])(=[O])[N]([H])[H])[c]([H])[c]2[c]1[N]([H])[C]([H])([H])[N]([H])[S]2(=[O])=[O],37.0,6.5
1980,-2.0,[H][O][c]1[c]([H])[c]([H])[c]([C]([H])([H])[C]([H])([H])[N]([H])[H])[c]([H])[c]1[O][H],20.0,7.4
1983,1.82,[H][N]([c]1[n][c]([O][C]([H])([H])[H])[n][c]([N]([H])[C]([H])([H])[C]([H])([H])[H])[n]1)[C]([H])([H])[C]([H])([H])[H],26.0,7.0
1984,1.82,[H][N]([c]1[n][c]([O][C]([H])([H])[H])[n][c]([N]([H])[C]([H])([H])[C]([H])([H])[H])[n]1)[C]([H])([H])[C]([H])([H])[H],26.0,3.0
1985,1.82,[H][N]([c]1[n][c]([N]([H])[C]([H])([H])[C]([H])([H])[H])[n][c]([C]([H])([H])[H])[n]1)[C]([H])([H])[C]([H])([H])[H],21.0,3.0
1987,2.54,[H][N]([c]1[n][c]([S][C]([H])([H])[H])[n][c]([N]([H])[C]([H])([H])[C]([H])([H])[H])[n]1)[C]([H])([H])[C]([H])([H])[H],26.0,3.0
1998,1.56,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([C]#[N])[c]([H])[c]1[H],25.0,1.0
2012,1.66,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([C](=[O])[O][H])[c]1[H],25.0,1.0
2015,2.0,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([C](=[O])[O][H])[c]([H])[c]1[H],25.0,1.0
2037,2.99,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([O][C]([H])([H])[H])[c]([H])[c]1[O][H],25.0,1.0
2038,2.78,[H][O][C](=[O])[c]1[c]([H])[c]([O][C]([H])([H])[H])[c]([H])[c]([H])[c]1[O][H],25.0,1.0
2272,2.1,[H][c]1[c]([Cl])[c]([H])[c]2[s][c]([S](=[O])(=[O])[N]([H])[H])[n][c]2[c]1[H],37.0,7.2
2307,2.4,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[I],15.0,2.7
2366,0.02,[H][c]1[c]([F])[c](=[O])[n]([H])[c](=[O])[n]1[C](=[O])[O][C]([H])([H])[C]([H])([H])[Cl],22.0,4.0
2383,1.33,[H][c]1[c]([H])[c]([H])[c]2[s][c]([S](=[O])(=[O])[N]([H])[H])[n][c]2[c]1[H],37.0,7.2
2385,1.13,[H][O][c]1[c]([H])[c]([H])[c]2[n][c]([S](=[O])(=[O])[N]([H])[H])[s][c]2[c]1[H],37.0,7.2
2393,2.13,[H][O][c]1[c]([N+](=[O])[O-])[c]([H])[c]([N+](=[O])[O-])[c]([H])[c]1[C]([H])([H])[H],20.0,7.0
2409,1.87,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],20.0,5.0
2417,1.87,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],22.0,3.0
2418,1.87,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],20.0,3.0
2419,1.87,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],20.0,4.0
2424,1.87,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],20.0,6.0
2426,1.87,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],25.0,6.8
2427,1.87,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],25.0,5.0
2428,1.87,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[H],25.0,7.4
2438,2.26,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[O][H],22.0,5.0
2440,2.26,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[O][H],22.0,1.2
2461,2.26,[H][O][C](=[O])[c]1[c]([H])[c]([H])[c]([H])[c]([H])[c]1[O][H],21.0,2.0
2495,-0.85,[H][n]1[c]([Cl])[n][c]2[c]1[c](=[O])[n]([C]([H])([H])[H])[c](=[O])[n]2[C]([H])([H])[H],37.0,1.3
2496,-0.85,[H][n]1[c]([Cl])[n][c]2[c]1[c](=[O])[n]([C]([H])([H])[H])[c](=[O])[n]2[C]([H])([H])[H],37.0,7.2
2514,0.19,[H][c]1[c]([F])[c](=[O])[n]([C](=[O])[C]([H])([H])[C]([H])([H])[H])[c](=[O])[n]1[H],22.0,4.0
2517,0.11,[H][c]1[c]([F])[c](=[O])[n]([C](=[O])[O][C]([H])([H])[C]([H])([H])[H])[c](=[O])[n]1[H],22.0,5.0
2519,-0.67,[H][c]1[c]([F])[c](=[O])[n]([H])[c](=[O])[n]1[C]([H])([H])[O][C](=[O])[C]([H])([H])[H],22.0,4.0
2520,-0.42,[H][c]1[c]([F])[c](=[O])[n]([C]([H])([H])[O][C](=[O])[C]([H])([H])[H])[c](=[O])[n]1[H],22.0,4.0
2521,-0.17,[H][c]1[c]([F])[c](=[O])[n]([H])[c](=[O])[n]1[C](=[O])[O][C]([H])([H])[C]([H])([H])[H],22.0,4.0
2569,0.91,[H][c]1[c]([S](=[O])(=[O])[N]([H])[H])[s][c]2[c]1[S][C]([H])([H])[C]([H])([H])[C]2=[O],25.0,7.4
2570,0.74,[H][c]1[c]([S](=[O])(=[O])[N]([H])[H])[s][c]2[c]1[C](=[O])[C]([H])([H])[C]([H])([H])[S]2,25.0,7.4
2572,-0.04,[H][c]1[c]([S](=[O])(=[O])[N]([H])[H])[s][c]2[c]1[C](=[O])[C]([H])([H])[C]([H])([H])[S]2(=[O])=[O],25.0,7.4
2573,-0.2,[H][c]1[c]([S](=[O])(=[O])[N]([H])[H])[s][c]2[c]1[S](=[O])(=[O])[C]([H])([H])[C]([H])([H])[C]2=[O],25.0,7.4
2592,1.92,[H][c]1[c]([H])[c]([S](=[O])(=[O])[N]([H])[C]([H])([H])[H])[c]([H])[c]([H])[c]1[Cl],35.0,7.2
