,logP,smiles,Temperature,pH
8765,2.01,[H][O][C]([H])([H])[C]([H])([H])[N]([C](=[O])[C]([H])([H])[O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]2[c]([H])[c]([O][C]([H])([H])[H])[c]([H])[c]([H])[c]2[c]1[H])[C]([H])([H])[H])[C]([H])([H])[H],21.0,7.4
8775,1.33,[H][O][c]1[c]([H])[c]([H])[c]([C]([H])([O][H])[C]([H])([H])[N]([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]([H])[c]1[C](=[O])[N]([H])[H],25.0,9.13
8776,1.33,[H][O][c]1[c]([H])[c]([H])[c]([C]([H])([O][H])[C]([H])([H])[N]([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]([H])[c]1[C](=[O])[N]([H])[H],25.0,10.35
8777,1.33,[H][O][c]1[c]([H])[c]([H])[c]([C]([H])([O][H])[C]([H])([H])[N]([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]([H])[c]1[C](=[O])[N]([H])[H],25.0,6.32
8778,1.33,[H][O][c]1[c]([H])[c]([H])[c]([C]([H])([O][H])[C]([H])([H])[N]([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]([H])[c]1[C](=[O])[N]([H])[H],25.0,5.82
8780,1.33,[H][O][c]1[c]([H])[c]([H])[c]([C]([H])([O][H])[C]([H])([H])[N]([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]([H])[c]1[C](=[O])[N]([H])[H],25.0,7.9
8781,1.33,[H][O][c]1[c]([H])[c]([H])[c]([C]([H])([O][H])[C]([H])([H])[N]([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]([H])[c]1[C](=[O])[N]([H])[H],25.0,9.89
8783,1.33,[H][O][c]1[c]([H])[c]([H])[c]([C]([H])([O][H])[C]([H])([H])[N]([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]([H])[c]1[C](=[O])[N]([H])[H],25.0,6.92
8785,1.33,[H][O][c]1[c]([H])[c]([H])[c]([C]([H])([O][H])[C]([H])([H])[N]([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]([H])[c]1[C](=[O])[N]([H])[H],25.0,11.16
8786,1.33,[H][O][c]1[c]([H])[c]([H])[c]([C]([H])([O][H])[C]([H])([H])[N]([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]([H])[c]1[C](=[O])[N]([H])[H],25.0,11.72
8787,1.33,[H][O][c]1[c]([H])[c]([H])[c]([C]([H])([O][H])[C]([H])([H])[N]([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]([H])[c]1[C](=[O])[N]([H])[H],25.0,9.73
8788,1.33,[H][O][c]1[c]([H])[c]([H])[c]([C]([H])([O][H])[C]([H])([H])[N]([H])[C]([H])([C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[c]([H])[c]1[C](=[O])[N]([H])[H],25.0,8.55
8789,1.8,[H][O][c]1[c]([O][C](=[O])[N]([H])[C]([C]([H])([H])[H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c](/[C]([H])=[C](/[C]#[N])[C](=[O])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[N+](=[O])[O-],22.0,5.0
8790,0.96,[H][O][c]1[c]([O][C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c](/[C]([H])=[C](/[C]#[N])[C](=[O])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[N+](=[O])[O-],22.0,7.4
8791,1.98,[H][O][c]1[c]([O][C](=[O])[N]([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c](/[C]([H])=[C](/[C]#[N])[C](=[O])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[N+](=[O])[O-],22.0,5.0
8792,0.74,[H][O][c]1[c]([O][C](=[O])[N]([H])[C]([C]([H])([H])[H])([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c](/[C]([H])=[C](/[C]#[N])[C](=[O])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[N+](=[O])[O-],22.0,7.4
8911,3.42,[H][O][C](=[O])[C]([H])([H])[C]1=[C]([C]([H])([H])[H])/[C](=[C](\[H])[c]2[c]([H])[c]([H])[c]([S](=[O])[C]([H])([H])[H])[c]([H])[c]2[H])[c]2[c]([H])[c]([H])[c]([F])[c]([H])[c]21,22.0,5.0
8912,3.42,[H][O][C](=[O])[C]([H])([H])[C]1=[C]([C]([H])([H])[H])/[C](=[C](\[H])[c]2[c]([H])[c]([H])[c]([S](=[O])[C]([H])([H])[H])[c]([H])[c]2[H])[c]2[c]([H])[c]([H])[c]([F])[c]([H])[c]21,22.0,1.2
8922,3.0,[H][c]1[n][c]([C]([H])([H])[c]2[c]([H])[c]([H])[c]([O][C]([H])([H])[H])[c]([O][C]([H])([H])[H])[c]2[H])[c]2[c]([H])[c]([O][C]([H])([H])[H])[c]([O][C]([H])([H])[H])[c]([H])[c]2[c]1[H],37.0,5.4
8924,3.0,[H][c]1[n][c]([C]([H])([H])[c]2[c]([H])[c]([H])[c]([O][C]([H])([H])[H])[c]([O][C]([H])([H])[H])[c]2[H])[c]2[c]([H])[c]([O][C]([H])([H])[H])[c]([O][C]([H])([H])[H])[c]([H])[c]2[c]1[H],37.0,7.0
8925,3.0,[H][c]1[n][c]([C]([H])([H])[c]2[c]([H])[c]([H])[c]([O][C]([H])([H])[H])[c]([O][C]([H])([H])[H])[c]2[H])[c]2[c]([H])[c]([O][C]([H])([H])[H])[c]([O][C]([H])([H])[H])[c]([H])[c]2[c]1[H],37.0,7.4
8940,5.04,[H][C](=[C]1[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]21)[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],24.0,9.06
8941,5.04,[H][C](=[C]1[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]21)[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],24.0,9.44
8943,5.04,[H][C](=[C]1[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]21)[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],24.0,9.78
8950,1.92,[H][O][c]1[c]([H])[c]([H])[c]2[c]3[c]1[O][C]1([H])[C](=[O])[C]([H])([H])[C]([H])([H])[C]4([O][H])[C]([H])([N]([C]([H])([H])[C]5([H])[C]([H])([H])[C]5([H])[H])[C]([H])([H])[C]([H])([H])[C]314)[C]2([H])[H],32.0,7.4
8959,2.64,[H][O][C@]([H])([c]1[c]([H])[c]([H])[n][c]2[c]([H])[c]([H])[c]([O][C]([H])([H])[H])[c]([H])[c]12)[C@@]1([H])[N]2[C]([H])([H])[C]([H])([H])[C]([H])([C]1([H])[H])[C@@]([H])([C]([H])=[C]([H])[H])[C]2([H])[H],25.0,6.8
8963,2.64,[H][O][C@]([H])([c]1[c]([H])[c]([H])[n][c]2[c]([H])[c]([H])[c]([O][C]([H])([H])[H])[c]([H])[c]12)[C@@]1([H])[N]2[C]([H])([H])[C]([H])([H])[C]([H])([C]1([H])[H])[C@@]([H])([C]([H])=[C]([H])[H])[C]2([H])[H],25.0,7.4
8984,3.32,[H][c]1[c]([C]([H])([C](=[O])[O][C]([H])([H])[C](=[O])[N]([C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]2[c]([H])[c]([H])[c]([O][C]([H])([H])[H])[c]([H])[c]2[c]1[H],21.0,7.4
8985,1.7,[H][O][C]([H])([H])[C]([H])([H])[N]([C](=[O])[C]([H])([H])[O][C](=[O])[C]([H])([c]1[c]([H])[c]([H])[c]2[c]([H])[c]([O][C]([H])([H])[H])[c]([H])[c]([H])[c]2[c]1[H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[O][H],21.0,7.4
9001,2.1,[H][O][C]1=[C](/[C](=[N]/[O][C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[H])[C](=[O])[C]([H])([H])[C]([H])([c]2[c]([C]([H])([H])[H])[c]([H])[c]([C]([H])([H])[H])[c]([H])[c]2[C]([H])([H])[H])[C]1([H])[H],257.0,6.5
9002,0.16,[H][O][C](=[O])[C]1([H])[N]([C](=[O])[C]([H])([N]([H])[C]([H])([C](=[O])[O][C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[C]1([H])[H],25.0,7.4
9004,0.16,[H][O][C](=[O])[C]1([H])[N]([C](=[O])[C]([H])([N]([H])[C]([H])([C](=[O])[O][C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[C]1([H])[H],25.0,1.0
9005,0.16,[H][O][C](=[O])[C]1([H])[N]([C](=[O])[C]([H])([N]([H])[C]([H])([C](=[O])[O][C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[C]1([H])[H],25.0,6.8
9007,0.16,[H][O][C](=[O])[C]1([H])[N]([C](=[O])[C]([H])([N]([H])[C]([H])([C](=[O])[O][C]([H])([H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[C]([H])([H])[H])[C]([H])([H])[C]([H])([H])[C]1([H])[H],25.0,5.0
9038,2.72,[H][O][C](=[O])[C]([H])([H])[C]([H])([H])[C]([H])([H])/[C]([H])=[C](\[H])[C]([H])([H])[C]1([H])[C]([H])([O][H])[C]([H])([H])[C]([H])([O][H])[C]1([H])/[C]([H])=[C](\[H])[C]([H])([O][H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],25.0,3.0
9039,2.72,[H][O][C](=[O])[C]([H])([H])[C]([H])([H])[C]([H])([H])/[C]([H])=[C](\[H])[C]([H])([H])[C]1([H])[C]([H])([O][H])[C]([H])([H])[C]([H])([O][H])[C]1([H])/[C]([H])=[C](\[H])[C]([H])([O][H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],25.0,5.0
9041,2.72,[H][O][C](=[O])[C]([H])([H])[C]([H])([H])[C]([H])([H])/[C]([H])=[C](\[H])[C]([H])([H])[C]1([H])[C]([H])([O][H])[C]([H])([H])[C]([H])([O][H])[C]1([H])/[C]([H])=[C](\[H])[C]([H])([O][H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[C]([H])([H])[H],25.0,4.0
9065,1.93,[H][C]1=[C]2[C]([H])([H])[N]3[C]([H])([H])[C]([H])([H])[C]45[c]6[c]([H])[c]([H])[c]([H])[c]([H])[c]6[N]6[C](=[O])[C]([H])([H])[C]([H])([O][C]1([H])[H])[C]([H])([C]2([H])[C]([H])([H])[C]34[H])[C]65[H],20.0,9.43
9075,3.52,[H][O][C]1([H])[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[C]([H])([H])[N]2[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[S][c]3[c]([H])[c]([H])[c]([C]#[N])[c]([H])[c]32)[C]([H])([H])[C]1([H])[H],37.0,7.4
9079,5.03,[H][c]1[c]([H])[c]([H])[c]2[c]([c]1[H])[S][c]1[c]([H])[c]([H])[c]([C]([F])([F])[F])[c]([H])[c]1[N]2[C]([H])([H])[C]([H])([H])[C]([H])([H])[N]1[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[H])[C]([H])([H])[C]1([H])[H],37.0,7.4
9085,7.02,[H][O][C]1=[C]([C]([H])([H])[C]2([H])[C]([H])([H])[C]([H])([H])[C]([H])([C]([C]([H])([H])[H])([C]([H])([H])[H])[C]([H])([H])[H])[C]([H])([H])[C]2([H])[H])[C](=[O])[c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[C]1=[O],25.0,7.4
9087,1.16,[H][O][C]([H])([H])[C](=[O])[C]1([O][H])[C]([H])([O][H])[C]([H])([H])[C]2([H])[C]3([H])[C]([H])([H])[C]([H])([H])[C]4=[C]([H])[C](=[O])[C]([H])=[C]([H])[C]4([C]([H])([H])[H])[C]3([F])[C]([H])([O][H])[C]([H])([H])[C]12[C]([H])([H])[H],25.0,7.0
9153,1.94,[H][O][C]([H])([H])[C](=[O])[C]1([H])[C]([H])([H])[C]([H])([H])[C]2([H])[C]3([H])[C]([H])([H])[C]([H])([H])[C]4=[C]([H])[C](=[O])[C]([H])([H])[C]([H])([H])[C]4([C]([H])([H])[H])[C]3([H])[C]([H])([O][H])[C]([H])([H])[C]12[C]([H])([H])[H],37.0,6.5
9214,-0.22,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C]([H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,2.87
9216,-0.22,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C]([H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,5.11
9217,-0.22,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C]([H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,3.7
9222,-0.22,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C]([H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,3.23
9224,-0.22,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C]([H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,2.84
9225,-0.22,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C]([H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,2.63
9226,-0.22,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C]([H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,2.6
9227,-0.22,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C]([H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,3.49
9228,-0.22,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C]([H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,2.81
9229,-0.22,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C]([H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,2.52
9231,-0.9,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C@]([O][H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,5.68
9232,-0.9,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C@]([O][H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,5.61
9233,-0.9,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C@]([O][H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,5.55
9235,-0.9,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C@]([O][H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,4.87
9236,-0.9,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C@]([O][H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,4.86
9237,-0.9,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C@]([O][H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,4.82
9238,-0.9,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C@]([O][H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,4.55
9239,-0.9,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C@]([O][H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,4.47
9240,-0.9,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C@]([O][H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,4.43
9241,-0.9,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C@]([O][H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,3.74
9243,-0.9,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C@]([O][H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,3.48
9244,-0.9,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C@]([O][H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,2.91
9246,-0.9,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C@]([O][H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,2.12
9247,-0.9,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C@]([O][H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,5.8
9248,-0.9,[H][O][C]1=[C]2[C](=[O])[c]3[c]([O][H])[c]([H])[c]([H])[c]([H])[c]3[C@]([O][H])([C]([H])([H])[H])[C]2([H])[C]([H])([O][H])[C]2([H])[C]1([O][H])[C](=[O])[C]([C](=[O])[N]([H])[H])=[C]([O][H])[C]2([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,2.23
9254,2.98,[H][c]1[c]([H])[c]([H])[c]2[c]([c]1[H])[S][c]1[c]([H])[c]([H])[c]([N]([H])[C](=[O])[O][C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[N]2[C](=[O])[C]([H])([H])[C]([H])([H])[N]1[C]([H])([H])[C]([H])([H])[O][C]([H])([H])[C]1([H])[H],25.0,7.0
9255,2.98,[H][c]1[c]([H])[c]([H])[c]2[c]([c]1[H])[S][c]1[c]([H])[c]([H])[c]([N]([H])[C](=[O])[O][C]([H])([H])[C]([H])([H])[H])[c]([H])[c]1[N]2[C](=[O])[C]([H])([H])[C]([H])([H])[N]1[C]([H])([H])[C]([H])([H])[O][C]([H])([H])[C]1([H])[H],25.0,6.0
9257,4.36,[H][O][C]([H])([H])[C]([H])([H])[N]1[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[C]([H])([H])[C]([H])([H])[N]2[c]3[c]([H])[c]([H])[c]([H])[c]([H])[c]3[S][c]3[c]([H])[c]([H])[c]([C]([F])([F])[F])[c]([H])[c]32)[C]([H])([H])[C]1([H])[H],37.0,7.4
9259,2.89,[H][c]1[c]([H])[c]([H])[c]2[c]([c]1[H])[S][C]([H])([c]1[c]([H])[c]([H])[c]([O][C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([O][C](=[O])[C]([H])([H])[H])[C](=[O])[N]2[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,6.8
9260,2.89,[H][c]1[c]([H])[c]([H])[c]2[c]([c]1[H])[S][C]([H])([c]1[c]([H])[c]([H])[c]([O][C]([H])([H])[H])[c]([H])[c]1[H])[C]([H])([O][C](=[O])[C]([H])([H])[H])[C](=[O])[N]2[C]([H])([H])[C]([H])([H])[N]([C]([H])([H])[H])[C]([H])([H])[H],25.0,7.4
9264,4.53,[H][C]#[C][C]1([O][H])[C]([H])([H])[C]([H])([H])[C]2([H])[C]3([H])[C]([H])([H])[C]([H])([H])[C]4=[C]([H])[c]5[o][n][c]([H])[c]5[C]([H])([H])[C]4([C]([H])([H])[H])[C]3([H])[C]([H])([H])[C]([H])([H])[C]12[C]([H])([H])[H],37.0,7.5
9300,4.37,[H][c]1[c]([H])[c]([H])[c]([C]([H])([H])[C@]([O][C](=[O])[C]([H])([H])[C]([H])([H])[H])([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[C@@]([H])([C]([H])([H])[H])[C]([H])([H])[N]([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H],25.0,7.4
9301,4.37,[H][c]1[c]([H])[c]([H])[c]([C]([H])([H])[C@]([O][C](=[O])[C]([H])([H])[C]([H])([H])[H])([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[C@@]([H])([C]([H])([H])[H])[C]([H])([H])[N]([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H],25.0,6.8
9302,4.37,[H][c]1[c]([H])[c]([H])[c]([C]([H])([H])[C@]([O][C](=[O])[C]([H])([H])[C]([H])([H])[H])([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[C@@]([H])([C]([H])([H])[H])[C]([H])([H])[N]([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H],25.0,7.32
9303,4.37,[H][c]1[c]([H])[c]([H])[c]([C]([H])([H])[C@]([O][C](=[O])[C]([H])([H])[C]([H])([H])[H])([c]2[c]([H])[c]([H])[c]([H])[c]([H])[c]2[H])[C@@]([H])([C]([H])([H])[H])[C]([H])([H])[N]([C]([H])([H])[H])[C]([H])([H])[H])[c]([H])[c]1[H],25.0,8.5
