,smiles,logP
4341,Clc1cc(Cl)cc(Cl)c1,4.19
4451,CC(C)(O)C(=O)O,-0.36
4453,Cc1ccc(C)[nH]1,1.47
4469,O=C(/C=C/c1ccccc1)c1ccccc1,3.08
4486,Nc1cccc(C(F)(F)F)c1,2.29
4496,CC(=O)OCc1ccccc1,1.96
4513,c1ccc(Sc2ccccc2)cc1,4.45
4529,CCCCCCCCCCCCc1ccccc1,8.65
4537,O=C1CCCO1,-0.64
4538,O=C1CCCN1,-0.85
4539,CN1CCCC1=O,-0.38
4541,CC(C)(O)C(Cl)(Cl)Cl,2.03
4559,O=C(O)Cc1ccc(I)cc1,2.64
4574,Nc1ccc(Oc2ccccc2)cc1,2.96
4593,CC(C)(C)O,0.35
4594,Clc1ccccn1,1.22
4609,Nc1cc([N+](=O)[O-])ccc1O,1.26
4617,COc1ccc(F)cc1,2.26
4627,Clc1ccc2ncccc2c1,2.73
4632,COc1ccc(NC(C)=O)cc1,1.03
4633,CCOC(=O)c1ccc(N)cc1,1.86
4653,c1ccc(Cc2ccccc2)cc1,4.14
4654,Nc1ccc(Cc2ccc(N)cc2)cc1,1.59
4677,NNC(N)=O,-2.75
4682,CN1CSC(=S)N(C)C1,1.4
4683,Nc1ccccc1S,1.43
4685,O=C(O)c1ccc(O)cc1O,1.63
4691,C=CCOc1ccccc1,2.94
4698,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,0.35
4699,O=[N+]([O-])c1ccccc1Nc1ccccc1,3.66
4709,C=CC(=O)O,0.35
4713,C=C(C)C(=O)OC,1.38
4718,ON=C1C=CC(=NO)C=C1,1.49
4720,Nc1cccc(N)c1,-0.33
4721,Nc1ccc(N)cc1,-0.3
4739,CC(=O)Oc1cccc(C)c1,2.09
4740,CC(=O)OCC(COC(C)=O)OC(C)=O,0.25
4746,CC(C)(C)c1ccc(C(=O)O)cc1,3.85
4776,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC,3.75
4781,O=CO,-0.54
4787,N#CCCC#N,-0.99
4790,CCCOC(N)=O,0.36
4796,Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0.93
4800,CCCS(=O)(=O)CCC,0.39
4802,O=C1NS(=O)(=O)c2ccccc21,0.91
4810,CCOc1cccc(O)c1,1.98
4816,CC1=CC(=O)CC(C)(C)C1,1.7
4890,COc1cccc([N+](=O)[O-])c1,2.16
4891,C#Cc1ccccc1,2.53
4893,OCCNCCO,-1.43
4894,COc1ccc(O)cc1,1.58
4895,O=C(O)c1ccc(O)cc1,1.58
4896,Cc1cc(O)ccc1O,0.91
4897,CC(O)CNCC(C)O,-0.82
4898,Cc1cc(O)c(C(C)C)cc1Cl,3.92
4902,CC(=O)N(C)c1ccc(O)cc1,0.61
4904,Oc1ccc(Br)cc1,2.59
4908,C/C=N\O,-0.13
4927,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,1.0
4957,CCCCCCCC(=O)O,3.05
4958,CCCCCCCCCC(=O)O,4.09
4959,CCCCCCCCCCCC(=O)O,4.6
4960,CCCCCCCCCCCC(=O)OC,5.41
4961,CCCCCCCCCCCCCC(=O)O,6.11
4962,CCCCCCCCCCCCCC(=O)OC,6.41
4963,CCCCCCCCCCCCCCCC(=O)O,7.17
4966,NC(N)=S,-1.08
4967,O=Nc1ccc2ccccc2c1O,2.46
4969,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.07
4972,Cn1cnc2c1c(=O)[nH]c(=O)n2C,-0.78
4983,O=NN(Cc1ccccc1)c1ccccc1,3.38
4998,CN1CCCC1c1cccnc1,1.17
5006,CC(=O)NO,-1.59
5009,Ic1cccnc1,1.8
5010,Fc1ccccn1,0.84
5011,Fc1cccnc1,0.77
5012,O=[N+]([O-])c1cc[n+]([O-])cc1,-0.55
5026,C1=C\C=C/C=C\C=C/1,3.08
5028,CCc1ccccc1[N+](=O)[O-],2.58
5031,Cc1ccc(CN)cc1,1.46
